t,date,rd
4793,2019-11-08,1
4794,2019-11-15,1
4795,2019-11-22,1
4796,2019-11-29,1
4797,2019-12-06,1
4798,2019-12-13,1
4799,2019-12-20,1
4800,2019-12-27,1
4801,2020-01-03,1
4802,2020-01-10,1
4803,2020-01-17,1
4804,2020-01-24,1
4805,2020-01-31,1
4806,2020-02-07,-1
4807,2020-02-14,1
4808,2020-02-21,1
4809,2020-02-28,1
4810,2020-03-06,1
4811,2020-03-13,1
4812,2020-03-20,1
4813,2020-03-27,1
4814,2020-04-03,1
4815,2020-04-10,1
4816,2020-04-17,1
4817,2020-04-24,1
4818,2020-05-01,1
4819,2020-05-08,1
4820,2020-05-15,1
4821,2020-05-22,1
4822,2020-05-29,1
4823,2020-06-05,1
4824,2020-06-12,1
4825,2020-06-19,1
4826,2020-06-26,1
4827,2020-07-03,1
4828,2020-07-10,1
4829,2020-07-17,1
4830,2020-07-24,1
4831,2020-07-31,1
4832,2020-08-07,1
4833,2020-08-14,1
4834,2020-08-21,1
4835,2020-08-28,1
4836,2020-09-04,1
4837,2020-09-11,1
4838,2020-09-18,1
4839,2020-09-25,1
4840,2020-10-02,1
4841,2020-10-09,1
4842,2020-10-16,1
4843,2020-10-23,1
4844,2020-10-30,1
4845,2020-11-06,1
4846,2020-11-13,1
4847,2020-11-20,1
4848,2020-11-27,1
4849,2020-12-04,1
4850,2020-12-11,1
4851,2020-12-18,1
4852,2020-12-25,1
4853,2021-01-01,1
4854,2021-01-08,1
4855,2021-01-15,1
4856,2021-01-22,1
4857,2021-01-29,1
4858,2021-02-05,1
4859,2021-02-12,1
4860,2021-02-19,1
4861,2021-02-26,1
4862,2021-03-05,1
4863,2021-03-12,1
4864,2021-03-19,1
4865,2021-03-26,1
4866,2021-04-02,1
4867,2021-04-09,1
4868,2021-04-16,1
4869,2021-04-23,1
4870,2021-04-30,1
4871,2021-05-07,1
4872,2021-05-14,1
4873,2021-05-21,1
4874,2021-05-28,1
4875,2021-06-04,1
4876,2021-06-11,1
4877,2021-06-18,1
4878,2021-06-25,1
4879,2021-07-02,1
4880,2021-07-09,1
4881,2021-07-16,1
4882,2021-07-23,1
4883,2021-07-30,1
4884,2021-08-06,1
4885,2021-08-13,1
4886,2021-08-20,1
4887,2021-08-27,1
4888,2021-09-03,1
4889,2021-09-10,1
4890,2021-09-17,1
4891,2021-09-24,1
4892,2021-10-01,1
4893,2021-10-08,1
4894,2021-10-15,1
4895,2021-10-22,1
4896,2021-10-29,1
4897,2021-11-05,1
4898,2021-11-12,1
4899,2021-11-19,1
4900,2021-11-26,1
4901,2021-12-03,1
4902,2021-12-10,1
4903,2021-12-17,1
4904,2021-12-24,1
4905,2021-12-31,1
4906,2022-01-07,1
4907,2022-01-14,1
4908,2022-01-21,1
4909,2022-01-28,1
4910,2022-02-04,1
4911,2022-02-11,1
4912,2022-02-18,1
4913,2022-02-25,1
4914,2022-03-04,1
4915,2022-03-11,1
4916,2022-03-18,1
4917,2022-03-25,1
4918,2022-04-01,1
4919,2022-04-08,1
4920,2022-04-15,1
4921,2022-04-22,1
4922,2022-04-29,1
4923,2022-05-06,1
4924,2022-05-13,1
4925,2022-05-20,1
4926,2022-05-27,1
4927,2022-06-03,1
4928,2022-06-10,1
4929,2022-06-17,1
4930,2022-06-24,1
4931,2022-07-01,1
4932,2022-07-08,1
4933,2022-07-15,1
4934,2022-07-22,1
4935,2022-07-29,1
4936,2022-08-05,1
4937,2022-08-12,1
4938,2022-08-19,1
4939,2022-08-26,1
4940,2022-09-02,1
4941,2022-09-09,1
4942,2022-09-16,1
4943,2022-09-23,1
4944,2022-09-30,1
4945,2022-10-07,1
4946,2022-10-14,1
