date,t,P,n_cycles,conf,R,ecv,quality,pattern,analogue_dir,analogue_conf,markov_dir,markov_up,comp_dir,realized,ret_next,strong
1987-01-01,228,56,6,high,0.284028429373789,0.3326434870837867,0.21313159305293738,+1-3-1+2,0,,1,0.625,1,-1,-0.014742014742014753,False
1987-02-01,229,56,6,high,0.2831373860098294,0.3326434870837867,0.2124629645918405,-3-1+2-1,0,,-1,0.37254901960784315,-1,1,0.014962593516209433,False
1987-03-01,230,56,6,high,0.28897955724682167,0.3326434870837867,0.21684686118054977,-1+2-1+1,0,,-1,0.49019607843137253,-1,1,0.11547911547911549,False
1987-04-01,231,56,6,high,0.28933578710699415,0.3326434870837867,0.21711417187814078,+2-1+1+3,0,,1,0.7407407407407407,1,1,0.013215859030837107,False
1987-05-01,232,56,6,high,0.2885624195508243,0.3326434870837867,0.21653384595926942,-1+1+3+1,0,,-1,0.49019607843137253,-1,-1,-0.023913043478260843,False
1987-06-01,233,56,6,high,0.2753486166136988,0.3326434870837867,0.2066183636377063,+1+3+1-2,0,,-1,0.48,-1,1,0.00222717149220486,False
1987-07-01,234,56,6,high,0.27353277137334986,0.3326434870837867,0.20525577472480616,+3+1-2+1,0,,1,0.5,-1,1,0.02444444444444449,False
1987-08-01,235,56,6,high,0.27744509711491383,0.3326434870837867,0.20819153794991696,+1-2+1+2,0,,1,0.6060606060606061,1,-1,-0.002169197396963085,False
1987-09-01,236,56,6,high,0.2708154105694135,0.3326434870837867,0.20321669913536797,-2+1+2-1,0,,-1,0.39622641509433965,-1,1,0.010869565217391353,False
1987-10-01,237,56,6,high,0.2597651675202485,0.3326434870837867,0.1949247267089344,+1+2-1+1,0,,-1,0.49056603773584906,-1,1,0.006451612903225712,False
1987-11-01,238,56,6,high,0.2599915114683057,0.3326434870837867,0.19509457254561238,+2-1+1+1,0,,1,0.5,1,1,0.03846153846153855,False
1987-12-01,239,56,6,high,0.2561683073549076,0.3326434870837867,0.19222568514215208,-1+1+1+2,0,,1,0.5882352941176471,1,-1,-0.020576131687242816,False
1988-01-01,240,56,6,high,0.25604886173693864,0.3326434870837867,0.19213605455518218,+1+1+2-2,0,,1,0.5,-1,-1,-0.07563025210084029,False
1988-02-01,241,56,6,high,0.2555870902339282,0.3326434870837867,0.19178954665004025,+1+2-2-3,0,,0,,-1,1,0.002272727272727204,False
1988-03-01,242,56,6,high,0.2553798757310024,0.3326434870837867,0.1916340553240148,+2-2-3+1,0,,1,0.5178571428571429,1,1,0.024943310657596474,False
1988-04-01,243,56,6,high,0.25605968200057605,0.3326434870837867,0.1921441739537627,-2-3+1+2,0,,1,0.5714285714285714,-1,0,0.0,False
1988-05-01,244,56,6,high,0.24998689979203625,0.3326434870837867,0.18758722960413113,-3+1+2+1,0,,1,0.5178571428571429,-1,-1,-0.004424778761061954,False
1988-06-01,245,56,6,high,0.24172702038774563,0.3326434870837867,0.18138911324041734,+1+2+1-1,0,,-1,0.4074074074074074,1,-1,-0.028888888888888853,False
1988-07-01,246,56,6,high,0.2416595069439934,0.3326434870837867,0.18133845194622533,+2+1-1-2,0,,-1,0.48148148148148145,1,-1,-0.020594965675057253,False
1988-08-01,247,56,6,high,0.24172540078434845,0.3326434870837867,0.18138789790907564,+1-1-2-2,0,,-1,0.48148148148148145,1,-1,-0.05841121495327106,False
1988-09-01,248,56,6,high,0.24200369573417757,0.3326434870837867,0.18159672716650752,-1-2-2-3,0,,0,,1,1,0.007444168734491274,False
1988-10-01,249,56,6,high,0.24235480618949934,0.3326434870837867,0.1818601963229059,-2-2-3+1,0,,1,0.5172413793103449,1,1,0.03694581280788167,False
1988-11-01,250,56,6,high,0.2444415496647554,0.3326434870837867,0.18342606408535034,-2-3+1+2,0,,1,0.5555555555555556,-1,-1,-0.004750593824228044,False
1988-12-01,251,56,6,high,0.24501468472545285,0.3326434870837867,0.1838561378944766,-3+1+2-1,0,,-1,0.4,1,-1,-0.04534606205250602,False
1989-01-01,252,56,6,high,0.24505223924785313,0.3326434870837867,0.1838843183664215,+1+2-1-2,0,,-1,0.4482758620689655,-1,-1,-0.030000000000000027,False
1989-02-01,253,56,6,high,0.24468750995298738,0.3326434870837867,0.18361062979299522,+2-1-2-2,0,,-1,0.4482758620689655,-1,1,0.005154639175257714,False
1989-03-01,254,56,6,high,0.24545041077881113,0.3326434870837867,0.1841831016005101,-1-2-2+1,0,,1,0.5254237288135594,1,-1,-0.017948717948717996,False
1989-04-01,255,56,6,high,0.24540764252796066,0.3326434870837867,0.18415100880805285,-2-2+1-1,0,,-1,0.39285714285714285,-1,-1,-0.03394255874673624,False
1989-05-01,256,56,6,high,0.24080740087639496,0.3326434870837867,0.1806990415743913,-2+1-1-2,0,,-1,0.43333333333333335,-1,-1,-0.008108108108108136,False
1989-06-01,257,56,6,high,0.24014428532247,0.3326434870837867,0.1802014474613731,+1-1-2-1,-1,0.8571428571428572,-1,0.39285714285714285,-1,1,0.01089918256130784,False
1989-07-01,258,56,6,high,0.2387138587724179,0.3326434870837867,0.17912807220091068,-1-2-1+1,0,,1,0.5166666666666667,-1,-1,-0.013477088948787075,False
1989-08-01,259,56,7,high,0.22990348767629154,0.3326434870837867,0.1725168733457645,-2-1+1-1,0,,-1,0.38596491228070173,1,-1,-0.013661202185792365,False
1989-09-01,260,56,7,high,0.22496367428019826,0.3326434870837867,0.16881009546858217,-1+1-1-1,0,,-1,0.38596491228070173,1,1,0.013850415512465464,False
1989-10-01,261,56,7,high,0.22552715794476896,0.3326434870837867,0.1692329269835613,+1-1-1+1,0,,1,0.5166666666666667,-1,1,0.04371584699453557,False
1989-11-01,262,56,7,high,0.22381945149695992,0.3326434870837867,0.16795148414880431,-1-1+1+2,0,,1,0.5405405405405406,1,1,0.0732984293193717,False
1989-12-01,263,56,7,high,0.22451810652102633,0.3326434870837867,0.16847574666225065,-1+1+2+3,0,,1,0.75,-1,-1,-0.019512195121951237,False
1990-01-01,264,56,7,high,0.22545312151925767,0.3144241278664389,0.1715223547251914,+1+2+3-2,0,,-1,0.4375,-1,1,0.03233830845771135,False
1990-02-01,265,56,7,high,0.22548410349416337,0.3144241278664389,0.17154592548462044,+2+3-2+2,0,,1,0.5405405405405406,1,-1,-0.053012048192771055,False
1990-03-01,266,56,7,high,0.22518160385847852,0.3144241278664389,0.1713157869553043,+3-2+2-3,0,,0,,1,-1,-0.04580152671755722,False
1990-04-01,267,56,7,high,0.22468783508084778,0.3144241278664389,0.17094013288203935,-2+2-3-2,0,,-1,0.4375,-1,-1,-0.010666666666666713,False
1990-05-01,268,56,7,high,0.22543905767973893,0.3144241278664389,0.1715116551045586,+2-3-2-1,0,,-1,0.4,1,-1,-0.05121293800539084,False
1990-06-01,269,56,7,high,0.2242332687020956,0.3144241278664389,0.17059430357997835,-3-2-1-3,0,,0,,1,1,0.02840909090909083,False
1990-07-01,270,56,7,high,0.22588688494261966,0.3144241278664389,0.17185235735840998,-2-1-3+2,0,,1,0.5384615384615384,-1,1,0.07458563535911611,False
1990-08-01,271,56,7,high,0.22670420733951135,0.3144241278664389,0.1724741676094272,-1-3+2+3,0,,1,0.7241379310344828,1,-1,-0.0025706940874036244,False
1990-09-01,272,56,7,high,0.22760598882892924,0.3144241278664389,0.17316023344639692,-3+2+3-1,0,,-1,0.39344262295081966,-1,-1,-0.01804123711340211,False
1990-10-01,273,56,7,high,0.23116193163124488,0.3144241278664389,0.1758655571900257,+2+3-1-2,0,,-1,0.4411764705882353,1,1,0.005249343832020914,False
1990-11-01,274,56,7,high,0.23034969935596727,0.3144241278664389,0.17524761944979567,+3-1-2+1,0,,1,0.5161290322580645,-1,-1,-0.007832898172323799,False
1990-12-01,275,56,7,high,0.223019472839737,0.3144241278664389,0.16967086050203606,-1-2+1-1,0,,-1,0.39344262295081966,1,1,0.007894736842105177,False
1991-01-01,276,56,7,high,0.22029634180822488,0.3144241278664389,0.16759913116157404,-2+1-1+1,0,,1,0.5161290322580645,1,-1,-0.05483028720626637,False
1991-02-01,277,56,7,high,0.2204707972296437,0.3144241278664389,0.16773185500444962,+1-1+1-3,0,,1,0.5555555555555556,-1,1,0.0027624309392264568,False
1991-03-01,278,56,7,high,0.22037867179167603,0.3144241278664389,0.16766176694381946,-1+1-3+1,0,,1,0.5079365079365079,1,-1,-0.01377410468319562,False
1991-04-01,279,56,7,high,0.22061863341500765,0.3144241278664389,0.16784432721355608,+1-3+1-1,0,,-1,0.3968253968253968,-1,-1,-0.0027932960893854997,False
1991-05-01,280,56,7,high,0.21840631471187788,0.3144241278664389,0.16616121849984067,-3+1-1-1,0,,-1,0.3968253968253968,-1,1,0.025210084033613356,False
1991-06-01,281,56,7,high,0.20436403219681099,0.3144241278664389,0.1554779982078789,+1-1-1+2,0,,1,0.55,-1,1,0.005464480874316946,False
1991-07-01,282,56,7,high,0.20392837241645978,0.3144241278664389,0.1551465528462829,-1-1+2+1,0,,-1,0.49230769230769234,1,-1,-0.03260869565217395,False
1991-08-01,283,56,7,high,0.2026266253401674,0.3144241278664389,0.1541561974132878,-1+2+1-2,0,,-1,0.45714285714285713,1,-1,-0.0196629213483146,False
1991-09-01,284,56,7,high,0.20197725237657005,0.3144241278664389,0.15366216131806532,+2+1-2-2,0,,-1,0.45714285714285713,1,1,0.025787965616045794,False
1991-10-01,285,56,7,high,0.2003712627273525,0.3144241278664389,0.15244034134750195,+1-2-2+2,0,,1,0.5609756097560976,-1,1,0.005586592178770999,False
1991-11-01,286,56,7,high,0.19865285879749084,0.3144241278664389,0.15113299777899109,-2-2+2+1,0,,-1,0.48484848484848486,1,1,0.002777777777777768,False
1991-12-01,287,56,7,high,0.19965687584126368,0.3144241278664389,0.15189684334640513,-2+2+1+1,0,,-1,0.48484848484848486,1,-1,-0.01939058171745156,False
1992-01-01,288,56,7,high,0.19927335937092383,0.3144241278664389,0.15160506806458468,+2+1+1-2,0,,-1,0.4594594594594595,-1,-1,-0.005649717514124242,False
1992-02-01,289,56,7,high,0.19910944715764345,0.3144241278664389,0.15148036538315532,+1+1-2-1,0,,-1,0.4,-1,-1,-0.022727272727272707,False
1992-03-01,290,56,7,high,0.19749650196690272,0.3144241278664389,0.15025325371003131,+1-2-1-2,0,,-1,0.4594594594594595,-1,-1,-0.01744186046511631,False
1992-04-01,291,56,7,high,0.19430271076053318,0.3144241278664389,0.14782345107733494,-2-1-2-2,0,,-1,0.4594594594594595,1,-1,-0.00295857988165682,False
1992-05-01,292,56,7,high,0.1855427622179251,0.3144241278664389,0.14115897470559702,-1-2-2-1,0,,-1,0.4,-1,1,0.008902077151335286,False
1992-06-01,293,56,7,high,0.1818359508407148,0.3144241278664389,0.13833887174292,-2-2-1+1,0,,-1,0.4852941176470588,-1,1,0.038235294117647145,False
1992-07-01,294,56,7,high,0.1826840098111806,0.3144241278664389,0.13898406605462393,-2-1+1+2,0,,1,0.5714285714285714,1,-1,-0.031161473087818692,False
1992-08-01,295,56,7,high,0.184135904655373,0.3144241278664389,0.14008865232431533,-1+1+2-2,0,,-1,0.425,-1,1,0.00877192982456143,False
1992-09-01,296,56,7,high,0.18406601522036703,0.3144241278664389,0.14003548117999118,+1+2-2+1,0,,-1,0.4852941176470588,-1,-1,-0.0028985507246376274,False
1992-10-01,297,56,7,high,0.1837811988326966,0.3144241278664389,0.13981879587908094,+2-2+1-1,0,,-1,0.40298507462686567,-1,-1,-0.023255813953488413,False
1992-11-01,298,56,7,high,0.18192922725399363,0.3144241278664389,0.13840983545341598,-2+1-1-2,0,,-1,0.425,1,-1,-0.005952380952380931,False
1992-12-01,299,56,7,high,0.17498258143823686,0.3144241278664389,0.13312490065308444,+1-1-2-1,-1,0.75,-1,0.40298507462686567,-1,-1,-0.014970059880239472,False
1993-01-01,300,56,7,high,0.17432919375666656,0.3144241278664389,0.13262781020281184,-1-2-1-2,-1,0.5555555555555556,-1,0.43902439024390244,-1,0,0.0,False
1993-02-01,301,56,7,high,0.17435102079060794,0.3144241278664389,0.1326444159798047,-2-1-2+1,0,,-1,0.4857142857142857,-1,1,0.003039513677811634,False
1993-03-01,302,56,7,high,0.17593690127480366,0.3144241278664389,0.13385093710991353,-1-2+1+1,0,,-1,0.4857142857142857,1,1,0.036363636363636376,False
1993-04-01,303,56,7,high,0.174204300095671,0.3144241278664389,0.13253279242403881,-2+1+1+2,0,,1,0.5581395348837209,-1,1,0.07309941520467844,False
1993-05-01,304,56,7,high,0.17503308468563572,0.3144241278664389,0.13316332299053868,+1+1+2+3,0,,1,0.7,1,1,0.008174386920980936,False
1993-06-01,305,56,7,high,0.17496150957405698,0.3144241278664389,0.13310886940127375,+1+2+3+1,0,,-1,0.49295774647887325,1,1,0.06216216216216219,False
1993-07-01,306,56,7,high,0.1745565887483298,0.3144241278664389,0.1328008099118421,+2+3+1+3,0,,1,0.7,-1,-1,-0.0330788804071247,False
1993-08-01,307,56,7,high,0.17327099362569465,0.3144241278664389,0.13182274271467195,+3+1+3-2,0,,-1,0.4186046511627907,1,-1,-0.06578947368421051,False
1993-09-01,308,56,7,high,0.1691101084348282,0.3144241278664389,0.12865718518825894,+1+3-2-3,0,,1,0.6,-1,1,0.016901408450704203,False
1993-10-01,309,56,7,high,0.16902487295918256,0.3144241278664389,0.12859233893822547,+3-2-3+2,0,,1,0.5681818181818182,-1,1,0.03601108033241007,False
1993-11-01,310,56,7,high,0.1750809815983697,0.3144241278664389,0.13319976245609513,-2-3+2+2,0,,1,0.5681818181818182,1,1,0.02406417112299475,False
1993-12-01,311,56,7,high,0.17539466420680017,0.3144241278664389,0.1334384088730166,-3+2+2+2,0,,1,0.5681818181818182,-1,1,0.0026109660574411553,False
1994-01-01,312,56,7,high,0.17417979434581576,0.3144241278664389,0.1325141487082581,+2+2+2+1,0,,1,0.5068493150684932,-1,-1,-0.0078125,False
1994-02-01,313,56,7,high,0.17402473364322169,0.3144241278664389,0.1323961801627128,+2+2+1-1,0,,-1,0.391304347826087,-1,1,0.007874015748031482,False
1994-03-01,314,56,7,high,0.16987640119395353,0.3144241278664389,0.12924017262958748,+2+1-1+1,0,,1,0.5068493150684932,-1,-1,-0.02083333333333337,False
1994-04-01,315,56,7,high,0.17045378382004417,0.3144241278664389,0.1296794392360426,+1-1+1-2,0,,-1,0.4090909090909091,1,1,0.005319148936170137,False
1994-05-01,316,56,7,high,0.17004773844730092,0.3144241278664389,0.12937052420311307,-1+1-2+1,0,,1,0.5,1,1,0.0185185185185186,False
1994-06-01,317,56,7,high,0.1705855644132589,0.3144241278664389,0.1297796965201421,+1-2+1+2,0,,1,0.5957446808510638,1,0,0.0,False
1994-07-01,318,56,7,high,0.16966045150447862,0.3144241278664389,0.1290758803856331,-2+1+2+1,0,,-1,0.49333333333333335,1,-1,-0.012987012987012991,False
1994-08-01,319,56,7,high,0.1717660892254479,0.3144241278664389,0.13067782733436048,+1+2+1-1,0,,-1,0.4,-1,1,0.03684210526315779,False
1994-09-01,320,56,7,high,0.1708518241945638,0.2922826837675681,0.13220932721659331,+2+1-1+2,0,,1,0.5957446808510638,1,-1,-0.010152284263959421,False
1994-10-01,321,56,7,high,0.1710929052402883,0.2922826837675681,0.1323958816359574,+1-1+2-1,0,,-1,0.4,-1,-1,-0.012820512820512775,False
1994-11-01,322,56,7,high,0.17077816759809972,0.2922826837675681,0.13215232993775544,-1+2-1-1,0,,-1,0.4,1,-1,-0.012987012987012991,False
1994-12-01,323,56,7,high,0.16910571294784804,0.2922826837675681,0.13085814355635492,+2-1-1-1,0,,-1,0.4084507042253521,-1,-1,-0.0052631578947368585,False
